SNo,ObservationDate,Province,Country/Region,Last Update,Confirmed,Deaths,Recovered
904,02/06/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
905,02/06/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
906,02/06/2020,Washington,US,2020-02-01T19:43:03,1.0,0.0,0.0
907,02/06/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
962,02/07/2020,Illinois,US,2020-02-01T19:43:03,2.0,0.0,0.0
963,02/07/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
964,02/07/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
974,02/07/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
975,02/07/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
976,02/07/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
977,02/07/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
978,02/07/2020,Washington,US,2020-02-01T19:43:03,1.0,0.0,0.0
979,02/07/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1034,02/08/2020,Illinois,US,2020-02-01T19:43:03,2.0,0.0,0.0
1035,02/08/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1036,02/08/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1046,02/08/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1047,02/08/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1048,02/08/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1049,02/08/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1050,02/08/2020,Washington,US,2020-02-01T19:43:03,1.0,0.0,0.0
1051,02/08/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1107,02/09/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1108,02/09/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1109,02/09/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1118,02/09/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1119,02/09/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1120,02/09/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1121,02/09/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1122,02/09/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1123,02/09/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1179,02/10/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1180,02/10/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1181,02/10/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1190,02/10/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1191,02/10/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1192,02/10/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1193,02/10/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1194,02/10/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1195,02/10/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1251,02/11/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1252,02/11/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1253,02/11/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1262,02/11/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1263,02/11/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1264,02/11/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1265,02/11/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1266,02/11/2020,California,US,2020-02-11T01:23:05,1.0,0.0,0.0
1267,02/11/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1268,02/11/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1324,02/12/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1325,02/12/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1326,02/12/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1335,02/12/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1336,02/12/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1337,02/12/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1338,02/12/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1339,02/12/2020,California,US,2020-02-11T01:23:05,1.0,0.0,0.0
1340,02/12/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1341,02/12/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1397,02/13/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1398,02/13/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1399,02/13/2020,California,US,2020-02-13T03:13:08,2.0,0.0,0.0
1400,02/13/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1409,02/13/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1410,02/13/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1411,02/13/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1412,02/13/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1413,02/13/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
1414,02/13/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1415,02/13/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1471,02/14/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1472,02/14/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1473,02/14/2020,California,US,2020-02-13T03:13:08,2.0,0.0,0.0
1474,02/14/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1484,02/14/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1485,02/14/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1486,02/14/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1487,02/14/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1488,02/14/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
1489,02/14/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1490,02/14/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1546,02/15/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1547,02/15/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1548,02/15/2020,California,US,2020-02-13T03:13:08,2.0,0.0,0.0
1549,02/15/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1559,02/15/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1560,02/15/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1561,02/15/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1562,02/15/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1563,02/15/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
1564,02/15/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1565,02/15/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1621,02/16/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1622,02/16/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1623,02/16/2020,California,US,2020-02-13T03:13:08,2.0,0.0,0.0
1624,02/16/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1634,02/16/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1635,02/16/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1636,02/16/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1637,02/16/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1638,02/16/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
1639,02/16/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1640,02/16/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1696,02/17/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1697,02/17/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1698,02/17/2020,California,US,2020-02-13T03:13:08,2.0,0.0,0.0
1699,02/17/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1709,02/17/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1710,02/17/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1711,02/17/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1712,02/17/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1713,02/17/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
1714,02/17/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1715,02/17/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1771,02/18/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1772,02/18/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1773,02/18/2020,California,US,2020-02-13T03:13:08,2.0,0.0,0.0
1774,02/18/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1784,02/18/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1785,02/18/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1786,02/18/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1787,02/18/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1788,02/18/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
1789,02/18/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1790,02/18/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1847,02/19/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1848,02/19/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1849,02/19/2020,California,US,2020-02-13T03:13:08,2.0,0.0,0.0
1850,02/19/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1860,02/19/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1861,02/19/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1862,02/19/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1863,02/19/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1864,02/19/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
1865,02/19/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1866,02/19/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1923,02/20/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
1924,02/20/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
1925,02/20/2020,California,US,2020-02-13T03:13:08,2.0,0.0,0.0
1926,02/20/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
1936,02/20/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
1937,02/20/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1938,02/20/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
1939,02/20/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
1940,02/20/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
1941,02/20/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
1942,02/20/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
1986,02/21/2020,Nebraska,US,2020-02-21T23:23:06,11.0,0.0,0.0
1992,02/21/2020,California,US,2020-02-21T23:23:06,5.0,0.0,0.0
2002,02/21/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
2003,02/21/2020,Texas,US,2020-02-21T23:23:06,2.0,0.0,0.0
2004,02/21/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
2005,02/21/2020,California,US,2020-02-21T05:43:02,2.0,0.0,1.0
2006,02/21/2020,California,US,2020-02-21T05:23:04,2.0,0.0,1.0
2018,02/21/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
2019,02/21/2020,California,US,2020-02-21T05:13:09,1.0,0.0,0.0
2020,02/21/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2021,02/21/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
2022,02/21/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2023,02/21/2020,California,US,2020-02-21T23:13:16,1.0,0.0,0.0
2024,02/21/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
2025,02/21/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
2026,02/21/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
2071,02/22/2020,Nebraska,US,2020-02-22T23:03:09,11.0,0.0,0.0
2077,02/22/2020,California,US,2020-02-22T17:13:24,5.0,0.0,0.0
2086,02/22/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
2087,02/22/2020,Texas,US,2020-02-22T17:13:24,2.0,0.0,0.0
2088,02/22/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
2089,02/22/2020,California,US,2020-02-21T05:43:02,2.0,0.0,1.0
2090,02/22/2020,California,US,2020-02-21T05:23:04,2.0,0.0,1.0
2102,02/22/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
2103,02/22/2020,California,US,2020-02-21T05:13:09,1.0,0.0,0.0
2104,02/22/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2105,02/22/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
2106,02/22/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2107,02/22/2020,California,US,2020-02-21T23:13:16,1.0,0.0,0.0
2108,02/22/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
2109,02/22/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
2110,02/22/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
2155,02/23/2020,Nebraska,US,2020-02-22T23:03:09,11.0,0.0,0.0
2161,02/23/2020,California,US,2020-02-22T17:13:24,5.0,0.0,0.0
2170,02/23/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
2171,02/23/2020,Texas,US,2020-02-22T17:13:24,2.0,0.0,0.0
2172,02/23/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
2173,02/23/2020,California,US,2020-02-21T05:43:02,2.0,0.0,1.0
2174,02/23/2020,California,US,2020-02-21T05:23:04,2.0,0.0,1.0
2186,02/23/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
2187,02/23/2020,California,US,2020-02-21T05:13:09,1.0,0.0,0.0
2188,02/23/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2189,02/23/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
2190,02/23/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2191,02/23/2020,California,US,2020-02-21T23:13:16,1.0,0.0,0.0
2192,02/23/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
2193,02/23/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
2194,02/23/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
2232,02/24/2020,Unassigned Location (From Diamond Princess),US,2020-02-24T23:33:02,36.0,0.0,0.0
2255,02/24/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
2256,02/24/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
2257,02/24/2020,California,US,2020-02-21T05:43:02,2.0,0.0,1.0
2258,02/24/2020,California,US,2020-02-21T05:23:04,2.0,0.0,1.0
2274,02/24/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
2275,02/24/2020,California,US,2020-02-21T05:13:09,1.0,0.0,0.0
2276,02/24/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2277,02/24/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
2278,02/24/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2279,02/24/2020,California,US,2020-02-21T23:13:16,1.0,0.0,0.0
2280,02/24/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
2281,02/24/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
2282,02/24/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
2283,02/24/2020,Texas,US,2020-02-24T23:33:02,0.0,0.0,0.0
2284,02/24/2020,Nebraska,US,2020-02-24T23:33:02,0.0,0.0,0.0
2285,02/24/2020,California,US,2020-02-24T23:33:02,0.0,0.0,0.0
2323,02/25/2020,Unassigned Location (From Diamond Princess),US,2020-02-25T21:23:03,36.0,0.0,0.0
2348,02/25/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
2349,02/25/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
2350,02/25/2020,California,US,2020-02-21T05:43:02,2.0,0.0,1.0
2351,02/25/2020,California,US,2020-02-21T05:23:04,2.0,0.0,1.0
2368,02/25/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
2369,02/25/2020,California,US,2020-02-21T05:13:09,1.0,0.0,0.0
2370,02/25/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2371,02/25/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
2372,02/25/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2373,02/25/2020,California,US,2020-02-21T23:13:16,1.0,0.0,0.0
2374,02/25/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
2375,02/25/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
2376,02/25/2020,Arizona,US,2020-02-25T21:23:03,1.0,0.0,1.0
2377,02/25/2020,Texas,US,2020-02-24T23:33:02,0.0,0.0,0.0
2378,02/25/2020,Nebraska,US,2020-02-24T23:33:02,0.0,0.0,0.0
2379,02/25/2020,California,US,2020-02-24T23:33:02,0.0,0.0,0.0
2416,02/26/2020,Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42.0,0.0,0.0
2449,02/26/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
2450,02/26/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
2451,02/26/2020,California,US,2020-02-21T05:43:02,2.0,0.0,1.0
2452,02/26/2020,California,US,2020-02-21T05:23:04,2.0,0.0,1.0
2469,02/26/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
2470,02/26/2020,California,US,2020-02-21T05:13:09,1.0,0.0,0.0
2471,02/26/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2472,02/26/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
2473,02/26/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2474,02/26/2020,California,US,2020-02-21T23:13:16,1.0,0.0,0.0
2475,02/26/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
2476,02/26/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
2477,02/26/2020,Arizona,US,2020-02-25T21:23:03,1.0,0.0,1.0
2478,02/26/2020,Texas,US,2020-02-24T23:33:02,0.0,0.0,0.0
2479,02/26/2020,Nebraska,US,2020-02-24T23:33:02,0.0,0.0,0.0
2480,02/26/2020,California,US,2020-02-24T23:33:02,0.0,0.0,0.0
2519,02/27/2020,Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42.0,0.0,0.0
2552,02/27/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
2553,02/27/2020,California,US,2020-02-27T20:33:02,2.0,0.0,0.0
2554,02/27/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
2555,02/27/2020,California,US,2020-02-21T05:43:02,2.0,0.0,1.0
2556,02/27/2020,California,US,2020-02-21T05:23:04,2.0,0.0,1.0
2575,02/27/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
2576,02/27/2020,California,US,2020-02-21T05:13:09,1.0,0.0,0.0
2577,02/27/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2578,02/27/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
2579,02/27/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
2580,02/27/2020,Texas,US,2020-02-13T18:53:02,1.0,0.0,0.0
2581,02/27/2020,Washington,US,2020-02-09T07:03:04,1.0,0.0,1.0
2582,02/27/2020,Arizona,US,2020-02-25T21:23:03,1.0,0.0,1.0
2583,02/27/2020,Texas,US,2020-02-24T23:33:02,0.0,0.0,0.0
2584,02/27/2020,Nebraska,US,2020-02-24T23:33:02,0.0,0.0,0.0
2585,02/27/2020,California,US,2020-02-24T23:33:02,0.0,0.0,0.0
2625,02/28/2020,Unassigned Location (From Diamond Princess),US,2020-02-28T20:03:03,44.0,0.0,0.0
2659,02/28/2020,Illinois,US,2020-02-09T19:03:03,2.0,0.0,2.0
2660,02/28/2020,California,US,2020-02-27T20:33:02,2.0,0.0,0.0
2661,02/28/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
2662,02/28/2020,California,US,2020-02-21T05:43:02,2.0,0.0,1.0
2663,02/28/2020,California,US,2020-02-21T05:23:04,2.0,0.0,1.0
